City,State,Country,lat,lng
Yancheng,Jiangsu,China,33.3936,120.1339
Hengyang,Hunan,China,26.8968,112.5857
Riyadh,Ar Riy??,Saudi Arabia,24.6333,46.7167
Zhumadian,Henan,China,32.9773,114.0253
Santiago,Región Metropolitana,Chile,-33.4372,-70.6506
Xingtai,Hebei,China,37.0659,114.4753
Chattogram,Chattogram,Bangladesh,22.335,91.8325
Bijie,Guizhou,China,27.3019,105.2863
Shangrao,Jiangxi,China,28.4419,117.9633
Zunyi,Guizhou,China,27.705,106.9336
S?rat,Gujar?t,India,21.1702,72.8311
Surabaya,Jawa Timur,Indonesia,-7.2458,112.7378
Huanggang,Hubei,China,30.45,114.875
Maoming,Guangdong,China,21.6618,110.9178
Nanchong,Sichuan,China,30.7991,106.0784
Xinyang,Henan,China,32.1264,114.0672
Madrid,Madrid,Spain,40.4169,-3.7033
Baghdad,Baghd?d,Iraq,33.3153,44.3661
Qujing,Yunnan,China,25.5102,103.8029
Jieyang,Guangdong,China,23.5533,116.3649
Singapore,,Singapore,1.3,103.8
Prayagraj,Uttar Pradesh,India,25.4358,81.8464
Liaocheng,Shandong,China,36.45,115.9833
Dalian,Liaoning,China,38.9,121.6
Yulin,Guangxi,China,22.6293,110.1507
Changde,Hunan,China,29.0397,111.6839
Qingdao,Shandong,China,36.1167,120.4
Douala,Littoral,Cameroon,4.05,9.7
Miami,Florida,United States,25.784,-80.2101
Nangandao,Henan,China,35.2992,113.8851
Pudong,Shanghai,China,31.2231,121.5397
Xiangyang,Hubei,China,32.0654,112.1531
Dallas,Texas,United States,32.7935,-96.7667
Houston,Texas,United States,29.786,-95.3885
Zhengzhou,Henan,China,34.7492,113.6605
Lu’an,Anhui,China,31.7542,116.5078
Dezhou,Shandong,China,37.4513,116.3105
Jinan,Shandong,China,36.6667,116.9833
Giza,Al J?zah,Egypt,29.987,31.2118
Zhaotong,Yunnan,China,27.3328,103.7144
Yichun,Jiangxi,China,27.8041,114.383
Nairobi,Nairobi City,Kenya,-1.2864,36.8172
Guadalajara,Jalisco,Mexico,20.6767,-103.3475
Philadelphia,Pennsylvania,United States,40.0077,-75.1339
Ankara,Ankara,Turkey,39.93,32.85
Tai’an,Shandong,China,36.2001,117.0809
Dazhou,Sichuan,China,31.2152,107.4947
Langfang,Hebei,China,39.5196,116.7006
Yongzhou,Hunan,China,26.4515,111.5953
Toronto,Ontario,Canada,43.7417,-79.3733
Suihua,Heilongjiang,China,46.6384,126.9808
Saint Petersburg,Sankt-Peterburg,Russia,59.95,30.3167
Qiqihar,Heilongjiang,China,47.3398,123.9512
Suzhou,Anhui,China,33.6333,116.9683
Monterrey,Nuevo León,Mexico,25.6667,-100.3
Belo Horizonte,Minas Gerais,Brazil,-19.9167,-43.9333
Weinan,Shaanxi,China,34.4996,109.4684
Rangoon,Yangon,Myanmar,16.795,96.16
Zhangzhou,Fujian,China,24.5093,117.6612
Yuncheng,Shanxi,China,35.0304,110.998
Xianyang,Shaanxi,China,34.35,108.7167
Guilin,Guangxi,China,25.2819,110.2864
Atlanta,Georgia,United States,33.7628,-84.422
Taizhou,Jiangsu,China,32.4831,119.9
K?sh?n,E?fah?n,Iran,33.9833,51.4333
Bozhou,Anhui,China,33.8626,115.7742
Abidjan,Abidjan,Côte d'Ivoire,5.3167,-4.0333
Suqian,Jiangsu,China,33.9331,118.2831
Huaihua,Hunan,China,27.5494,109.9592
Ji’an,Jiangxi,China,27.1172,114.9793
Xiaoganzhan,Hubei,China,30.9273,113.911
Pingdingshan,Henan,China,33.735,113.2999
Jiujiang,Jiangxi,China,29.7048,116.0021
Alexandria,Al Iskandar?yah,Egypt,31.1975,29.8925
Mianyang,Sichuan,China,31.4669,104.7385
Sydney,New South Wales,Australia,-33.8678,151.21
Huanglongsi,Henan,China,34.795,114.345
Washington,District of Columbia,United States,38.9047,-77.0163
Barcelona,Catalonia,Spain,41.3825,2.1769
Changsha,Hunan,China,28.1987,112.9709
Chenzhou,Hunan,China,25.7989,113.0267
Anqing,Anhui,China,30.5,117.0333
Jiangmen,Guangdong,China,22.5833,113.0833
Xinpu,Jiangsu,China,34.5906,119.1801
Yibin,Sichuan,China,28.7596,104.64
Yangzhou,Jiangsu,China,32.3912,119.4363
Melbourne,Victoria,Australia,-37.8142,144.9631
Berlin,Berlin,Germany,52.52,13.405
Hengshui,Hebei,China,37.7348,115.686
Timbío,Cauca,Colombia,2.3445,-76.6839
Kunming,Yunnan,China,25.0433,102.7061
Yiyang,Hunan,China,28.5833,112.3333
Guigang,Guangxi,China,23.0961,109.6092
Changchun,Jilin,China,43.9,125.2
Jiangguanchi,Henan,China,34.0244,113.8201
Casablanca,Casablanca-Settat,Morocco,33.5333,-7.5833
Meizhou,Guangdong,China,24.2998,116.1191
Zhangjiakou,Hebei,China,40.8108,114.8811
Chifeng,Inner Mongolia,China,42.2663,118.9223
Ürümqi,Xinjiang,China,43.8225,87.6125
Suzhou,Jiangsu,China,31.3,120.6194
?zmir,?zmir,Turkey,38.42,27.14
Linfen,Shanxi,China,36.0812,111.5087
Shantou,Guangdong,China,23.3735,116.6941
Kabul,K?bul,Afghanistan,34.5253,69.1783
Mogadishu,Banaadir,Somalia,2.0392,45.3419
Luzhou,Sichuan,China,28.8918,105.4409
Hefei,Anhui,China,31.8639,117.2808
Boston,Massachusetts,United States,42.3188,-71.0852
Liuzhou,Guangxi,China,24.3264,109.4281
Zhaoqing,Guangdong,China,23.05,112.4667
Xiaoxita,Hubei,China,30.7083,111.2803
Shijiazhuang,Hebei,China,38.0422,114.5086
Ningbo,Zhejiang,China,29.875,121.5492
Fuzhou,Jiangxi,China,27.9814,116.3577
Phoenix,Arizona,United States,33.5722,-112.0892
Zhuzhou,Hunan,China,27.8407,113.1469
Amman,Al ‘??imah,Jordan,31.9497,35.9328
Chuzhou,Anhui,China,32.3062,118.3115
Jeddah,Makkah al Mukarramah,Saudi Arabia,21.5433,39.1728
Qingyuan,Guangdong,China,23.6842,113.0507
Loudi,Hunan,China,27.7378,111.9974
Binzhou,Shandong,China,37.3806,118.0125
Deyang,Sichuan,China,31.1289,104.395
Taiyuan,Shanxi,China,37.8733,112.5425
Kano,Kano,Nigeria,12,8.5167
Wuhu,Anhui,China,31.334,118.3622
Nanning,Guangxi,China,22.8192,108.315
Harbin,Heilongjiang,China,45.75,126.6333
Abuja,Federal Capital Territory,Nigeria,9.0667,7.4833
Yokohama,Kanagawa,Japan,35.4442,139.6381
Baojishi,Shaanxi,China,34.3609,107.1751
Zaozhuang,Shandong,China,34.8667,117.55
Xiamen,Fujian,China,24.4797,118.0819
Neijiang,Sichuan,China,29.5872,105.0635
Fuzhou,Fujian,China,26.0769,119.2917
Baicheng,Guangxi,China,23.901,106.6194
Anshan,Liaoning,China,41.1066,122.9895
Medan,Sumatera Utara,Indonesia,3.5894,98.6739
Yulinshi,Shaanxi,China,38.2655,109.7388
Wenzhou,Zhejiang,China,27.9991,120.6561
Changzhou,Jiangsu,China,31.8122,119.9692
Puyang,Henan,China,35.7639,115.03
Jiaozuo,Henan,China,35.229,113.2304
Nanchang,Jiangxi,China,28.6842,115.8872
Ibadan,Oyo,Nigeria,7.3964,3.9167
Hechi,Guangxi,China,24.6928,108.085
Detroit,Michigan,United States,42.3834,-83.1024
Montréal,Quebec,Canada,45.5089,-73.5617
Busan,Busan,South Korea,35.18,129.075
Hohhot,Inner Mongolia,China,40.8151,111.6629
Seattle,Washington,United States,47.6211,-122.3244
Algiers,Alger,Algeria,36.7539,3.0589
Hanzhong,Shaanxi,China,33.0794,107.026
Tangshan,Hebei,China,39.6292,118.1742
Shiyan,Hubei,China,32.6351,110.7755
Lucknow,Uttar Pradesh,India,26.85,80.95
Siping,Jilin,China,43.1715,124.3644
Mashhad,Khor?s?n-e Ra?av?,Iran,36.3,59.6
Boankra,Ashanti,Ghana,6.6944,-1.4028
Changzhi,Shanxi,China,36.1953,113.097
Dubai,Dubayy,United Arab Emirates,25.2631,55.2972
Qinzhou,Guangxi,China,21.95,108.6167
Guiyang,Guizhou,China,26.5794,106.7078
Bengbu,Anhui,China,32.9354,117.3531
San Francisco,California,United States,37.7558,-122.4449
Bazhou,Sichuan,China,31.8576,106.7559
Qincheng,Gansu,China,34.5809,105.7311
Suining,Sichuan,China,30.5098,105.5737
Wuxi,Jiangsu,China,31.5667,120.2833
Leshan,Sichuan,China,29.5854,103.7575
Putian,Fujian,China,25.4394,119.0103
Zhenjiang,Jiangsu,China,32.2109,119.4551
Faisalabad,Punjab,Pakistan,31.4167,73.0911
Guang’an,Sichuan,China,30.4673,106.6336
Tongren,Guizhou,China,27.7233,109.1885
Santa Cruz,Santa Cruz,Bolivia,-17.7892,-63.1975
Qinhuangdao,Hebei,China,39.9398,119.5881
Tongliao,Inner Mongolia,China,43.6172,122.264
Jinzhou,Liaoning,China,41.1144,121.1292
Heyuan,Guangdong,China,23.7503,114.6923
San Diego,California,United States,32.8313,-117.1222
Jaipur,R?jasth?n,India,26.9,75.8
Xinzhou,Shanxi,China,38.4178,112.7233
Lanzhou,Gansu,China,36.0617,103.8318
Wuzhou,Guangxi,China,23.4833,111.3167
Athens,Attikí,Greece,37.9842,23.7281
Addis Ababa,?d?s ?beba,Ethiopia,9.03,38.74
Chaoyang,Liaoning,China,41.5757,120.4486
Brasília,Distrito Federal,Brazil,-15.7939,-47.8828
Taichung,Taichung,Taiwan,24.1439,120.6794
Kuwait City,Al ‘??imah,Kuwait,29.3697,47.9783
Budapest,Budapest,Hungary,47.4925,19.0514
Shaoguan,Guangdong,China,24.8011,113.5927
Shanwei,Guangdong,China,22.7664,115.3331
Quezon City,Quezon,Philippines,14.63,121.03
Rizhao,Shandong,China,35.4164,119.4331
Kyiv,"Kyiv, Misto",Ukraine,50.45,30.5233
Sanaa,Am?nat al ‘??imah,Yemen,15.3483,44.2064
Meishan,Sichuan,China,30.0575,103.8381
Incheon,Incheon,South Korea,37.4833,126.6333
Guatemala City,Guatemala,Guatemala,14.6099,-90.5252
Birmingham,Birmingham,United Kingdom,52.48,-1.9025
Zhongshan,Guangdong,China,22.5333,113.35
Ningde,Fujian,China,26.6617,119.5228
Weihai,Shandong,China,37.5,122.1
Daqing,Heilongjiang,China,46.5979,125.008
Bursa,Bursa,Turkey,40.1833,29.05
Salvador,Bahia,Brazil,-12.9747,-38.4767
Rome,Lazio,Italy,41.8931,12.4828
Haikou,Hainan,China,20.02,110.32
La Paz,La Paz,Bolivia,-16.5,-68.15
Xiangtan,Hunan,China,27.8431,112.9228
Pyongyang,P’y?ngyang,North Korea,39.0194,125.7381
Minneapolis,Minnesota,United States,44.9635,-93.2678
Omdurman,Khartoum,Sudan,15.65,32.4833
Malang,Jawa Timur,Indonesia,-7.98,112.62
Mudanjiang,Heilongjiang,China,44.5861,129.5997
Stuttgart,Baden-Württemberg,Germany,48.7775,9.18
Brooklyn,New York,United States,40.6501,-73.9496
Kaohsiung,Kaohsiung,Taiwan,22.615,120.2975
Guayaquil,Guayas,Ecuador,-2.19,-79.8875
Lisbon,Lisboa,Portugal,38.7253,-9.15
Longyan,Fujian,China,25.0881,117.0244
Tieling,Liaoning,China,42.2841,123.8365
Manchester,Manchester,United Kingdom,53.4794,-2.2453
Baotou,Inner Mongolia,China,40.6562,109.8345
Handan,Hebei,China,36.6116,114.4894
Cawnpore,Uttar Pradesh,India,26.4499,80.3319
Dingxi,Gansu,China,35.5806,104.6263
Nanping,Fujian,China,26.6448,118.1728
Tampa,Florida,United States,27.9945,-82.4447
Zigong,Sichuan,China,29.3498,104.7645
Maracaibo,Zulia,Venezuela,10.6333,-71.6333
Chaozhou,Guangdong,China,23.67,116.63
Mbuji-Mayi,Kasaï Oriental,Congo (Kinshasa),-6.15,23.6
Denver,Colorado,United States,39.762,-104.8758
Gulou,Fujian,China,26.0865,119.298
Weifang,Shandong,China,36.7167,119.1
Huai’an,Jiangsu,China,33.5058,119.1392
Zibo,Shandong,China,36.7831,118.0497
Ankang,Shaanxi,China,32.6877,109.0235
Baoshan,Yunnan,China,25.1211,99.169
Antananarivo,Antananarivo,Madagascar,-18.9333,47.5167
Huludao,Liaoning,China,40.7094,120.8378
Munich,Bavaria,Germany,48.1375,11.575
Yanjiang,Sichuan,China,30.1256,104.6397
Santo Domingo,Ozama,Dominican Republic,18.4764,-69.8933
Sanming,Fujian,China,26.2658,117.6302
Tashkent,Toshkent,Uzbekistan,41.3111,69.2797
Longba,Gansu,China,33.535,105.349
Yangjiang,Guangdong,China,21.8556,111.9627
Jiamusi,Heilongjiang,China,46.8081,130.3653
Luohe,Henan,China,33.583,114.0109
Lincang,Yunnan,China,23.8864,100.0871
Medellín,Antioquia,Colombia,6.2308,-75.5906
Xuanzhou,Anhui,China,30.9475,118.7518
Yunfu,Guangdong,China,22.9242,112.0353
Shaoxing,Zhejiang,China,30,120.5833
Yantai,Shandong,China,37.3997,121.2664
Huizhou,Guangdong,China,23.1115,114.4152
Lishui,Zhejiang,China,28.45,119.9167
Mirz?pur,Uttar Pradesh,India,25.146,82.569
Hamburg,Hamburg,Germany,53.55,10
Guangyuan,Sichuan,China,32.4353,105.8398
Cali,Valle del Cauca,Colombia,3.4206,-76.5222
Lusaka,Lusaka,Zambia,-15.4167,28.2833
Huangshi,Hubei,China,30.2018,115.0326
Xining,Qinghai,China,36.6239,101.7787
Ouagadougou,Centre,Burkina Faso,12.3686,-1.5275
Daegu,Daegu,South Korea,35.8717,128.6017
Fortaleza,Ceará,Brazil,-3.7275,-38.5275
Yaoundé,Centre,Cameroon,3.8667,11.5167
Jilin,Jilin,China,43.8519,126.5481
Dandong,Liaoning,China,40.1167,124.3833
Zhuhai,Guangdong,China,22.2769,113.5678
Lianshan,Liaoning,China,40.7523,120.828
Yingkou,Liaoning,China,40.6653,122.2297
Antalya,Antalya,Turkey,36.8874,30.7075
N?gpur,Mah?r?shtra,India,21.1497,79.0806
Queens,New York,United States,40.7498,-73.7976
Accra,Greater Accra,Ghana,5.55,-0.2
Bekasi,Jawa Barat,Indonesia,-6.2349,106.9923
Gh?zi?b?d,Uttar Pradesh,India,28.67,77.42
Yuxi,Yunnan,China,24.3495,102.5432
Luoyang,Henan,China,34.6587,112.4245
Brisbane,Queensland,Australia,-27.4678,153.0281
Anshun,Guizhou,China,26.2456,105.934
Depok,Jawa Barat,Indonesia,-6.394,106.8225
Shangzhou,Shaanxi,China,33.868,109.9244
Huainan,Anhui,China,32.4831,117.0164
Colombo,Western,Sri Lanka,6.9344,79.8428
Kuaidamao,Jilin,China,41.7302,125.9471
Baku,Bak?,Azerbaijan,40.3667,49.8352
Fukuoka,Fukuoka,Japan,33.5833,130.4
Yan’an,Shaanxi,China,36.5952,109.4863
Jincheng,Shanxi,China,35.4906,112.8483
Vancouver,British Columbia,Canada,49.25,-123.1
Nantong,Jiangsu,China,31.9829,120.8873
Tangerang,Jawa Barat,Indonesia,-6.1783,106.6319
Caracas,Distrito Capital,Venezuela,10.4806,-66.9036
Sanmenxia,Henan,China,34.7736,111.195
Laibin,Guangxi,China,23.7333,109.2333
Konya,Konya,Turkey,37.8667,32.4833
Manaus,Amazonas,Brazil,-3.1,-60.0167
E?fah?n,E?fah?n,Iran,32.6447,51.6675
Qinbaling,Gansu,China,35.7278,107.64
Baltimore,Maryland,United States,39.3051,-76.6144
Ma’anshan,Anhui,China,31.6858,118.5101
Shengli,Shandong,China,37.45,118.4667
Gaoping,Sichuan,China,30.7824,106.1281
Taizhou,Zhejiang,China,28.6583,121.4221
Harare,Harare,Zimbabwe,-17.8292,31.0522
Kowloon,,Hong Kong,22.3167,114.1833
Las Vegas,Nevada,United States,36.2333,-115.2654
Havana,La Habana,Cuba,23.1367,-82.3589
Perth,Western Australia,Australia,-31.9559,115.8606
Phnom Penh,Phnom Penh,Cambodia,11.5694,104.9211
Puning,Guangdong,China,23.2993,116.1586
Huaibei,Anhui,China,33.9562,116.789
Qingyang,Fujian,China,24.8141,118.5792
Haiphong,H?i Phòng,Vietnam,20.8651,106.6838
Chongzuo,Guangxi,China,22.4167,107.3667
Rawalpindi,Punjab,Pakistan,33.6,73.0333
Yushan,Jiangsu,China,31.3867,120.9766
St. Louis,Missouri,United States,38.6359,-90.2451
Kumasi,Ashanti,Ghana,6.6667,-1.6167
Vadodara,Gujar?t,India,22.3,73.2
Hezhou,Guangxi,China,24.4164,111.5478
Pingliang,Gansu,China,35.5412,106.6819
Portland,Oregon,United States,45.5371,-122.65
Vish?khapatnam,Andhra Pradesh,India,17.7042,83.2978
Gujranwala,Punjab,Pakistan,32.1567,74.19
Baicheng,Jilin,China,45.6148,122.832
Gaziantep,Gaziantep,Turkey,37.0628,37.3792
Fushun,Liaoning,China,41.8708,123.8917
Riverside,California,United States,33.9381,-117.3949
Bamako,Bamako,Mali,12.6458,-7.9922
Quito,Pichincha,Ecuador,-0.22,-78.5125
Minsk,Minsk,Belarus,53.9,27.5667
Tijuana,Baja California,Mexico,32.525,-117.0333
Bamenda,North-West,Cameroon,5.9614,10.1517
Boosaaso,Bari,Somalia,11.2886,49.1819
Indore,Madhya Pradesh,India,22.7167,75.8472
?anl?urfa,?anl?urfa,Turkey,37.1583,38.7917
Vienna,Wien,Austria,48.2083,16.3725
Karaj,Alborz,Iran,35.8272,50.9489
Kananga,Kasaï Central,Congo (Kinshasa),-5.897,22.4488
Peshawar,Khyber Pakhtunkhwa,Pakistan,34.0144,71.5675
Sapporo,Hokkaid?,Japan,43.0667,141.35
Ecatepec,México,Mexico,19.6097,-99.06
Pingxiang,Jiangxi,China,27.6333,113.85
Orlando,Florida,United States,28.4773,-81.337
Aleppo,?alab,Syria,36.2,37.16
Sacramento,California,United States,38.5677,-121.4685
Almaty,,Kazakhstan,43.2775,76.8958
San Juan,Puerto Rico,Puerto Rico,18.3985,-66.061
San Antonio,Texas,United States,29.4632,-98.5238
Yinchuan,Ningxia,China,38.4795,106.2254
Th?ne,Mah?r?shtra,India,19.1972,72.9722
Santos,São Paulo,Brazil,-23.9369,-46.325
Blantyre,Blantyre,Malawi,-15.7861,35.0058
Bucharest,Bucure?ti,Romania,44.4325,26.1039
Curitiba,Paraná,Brazil,-25.4297,-49.2711
Multan,Punjab,Pakistan,30.1978,71.4697
Tainan,Tainan,Taiwan,22.9833,120.1833
Xiping,Shanxi,China,40.082,113.2981
Port Harcourt,Rivers,Nigeria,4.8242,7.0336
Warsaw,Mazowieckie,Poland,52.23,21.0111
Jixi,Heilongjiang,China,45.2937,130.965
Saidu Sharif,Khyber Pakhtunkhwa,Pakistan,34.75,72.3572
Liaoyang,Liaoning,China,41.2643,123.1772
Beihai,Guangxi,China,21.4667,109.1
Meru,Meru,Kenya,0.05,37.65
Brazzaville,Brazzaville,Congo (Brazzaville),-4.2694,15.2714
Fuxin,Liaoning,China,42.0127,121.6486
Wuwei,Gansu,China,37.9278,102.6329
Mersin,Mersin,Turkey,36.8,34.6333
Bhop?l,Madhya Pradesh,India,23.25,77.4167
Lubumbashi,Haut-Katanga,Congo (Kinshasa),-11.6647,27.4794
Denpasar,Bali,Indonesia,-8.65,115.2167
Davao,Davao,Philippines,7.0667,125.6
Shuyangzha,Jiangsu,China,34.1299,118.7734
Adana,Adana,Turkey,37,35.3213
Damascus,Dimashq,Syria,33.5131,36.2919
Brussels,Brussels-Capital Region,Belgium,50.8467,4.3525
Hyderabad City,Sindh,Pakistan,25.3792,68.3683
Diyarbak?r,Diyarbak?r,Turkey,37.91,40.24
San Jose,California,United States,37.3012,-121.848
Chinchvad,Mah?r?shtra,India,18.6186,73.8037
Montevideo,Montevideo,Uruguay,-34.8836,-56.1819
Pittsburgh,Pennsylvania,United States,40.4397,-79.9763
Shuozhou,Shanxi,China,39.3408,112.4292
Cincinnati,Ohio,United States,39.1413,-84.506
Benxi,Liaoning,China,41.292,123.761
Baiyin,Gansu,China,36.5448,104.1766
Mosul,N?nawá,Iraq,36.34,43.13
Manhattan,New York,United States,40.7834,-73.9662
Caloocan City,Caloocan,Philippines,14.65,120.97
Kampala,Kampala,Uganda,0.3136,32.5811
Patna,Bih?r,India,25.6,85.1
Tegucigalpa,Francisco Morazán,Honduras,14.1,-87.2167
Cleveland,Ohio,United States,41.4764,-81.6805
Sanzhou,Chongqing,China,30.82,108.4
Changshu,Jiangsu,China,31.65,120.7333
Mecca,Makkah al Mukarramah,Saudi Arabia,21.4225,39.8233
Heihe,Heilongjiang,China,50.2458,127.4886
Jingdezhen,Jiangxi,China,29.2942,117.2036
Conakry,Conakry,Guinea,9.5092,-13.7122
Recife,Pernambuco,Brazil,-8.05,-34.9
Indianapolis,Indiana,United States,39.7771,-86.1458
Austin,Texas,United States,30.3005,-97.7522
Sangereng,Jawa Barat,Indonesia,-6.2889,106.7181
Kansas City,Missouri,United States,39.1238,-94.5541
Zhongli,Taoyuan,Taiwan,24.965,121.2168
Novosibirsk,Novosibirskaya Oblast’,Russia,55.0333,82.9167
Bil?spur,Chhatt?sgarh,India,22.09,82.15
Semarang,Jawa Tengah,Indonesia,-6.9667,110.4167
Ludhi?na,Punjab,India,30.91,75.85
N?r?yanganj,Dhaka,Bangladesh,23.62,90.5
Stockholm,Stockholm,Sweden,59.3294,18.0686
Chengtangcun,Shandong,China,35.0833,117.15
?gra,Uttar Pradesh,India,27.18,78.02
Balandougou,Kayes,Mali,13.3558,-9.5517
Agw?r,Uttar Pradesh,India,27.18,78.02
León de los Aldama,Guanajuato,Mexico,21.1167,-101.6833
Yopougon,Abidjan,Côte d'Ivoire,5.3167,-4.0667
Puebla,Puebla,Mexico,19.0333,-98.1833
Madurai,Tamil N?du,India,9.9252,78.1198
Hebi,Henan,China,35.7497,114.2887
Córdoba,Córdoba,Argentina,-31.4167,-64.1833
Sh?r?z,F?rs,Iran,29.61,52.5425
Jamshedpur,Jh?rkhand,India,22.7925,86.1842
Tabr?z,?z?arb?yj?n-e Sharq?,Iran,38.0814,46.3006
Huzhou,Zhejiang,China,30.8925,120.0875
Columbus,Ohio,United States,39.9862,-82.9855
Sofia,Sofia-Grad,Bulgaria,42.7,23.33
Kawasaki,Kanagawa,Japan,35.5167,139.7
San José,San José,Costa Rica,9.9325,-84.08
Aba,Abia,Nigeria,5.1167,7.3667
Palembang,Sumatera Selatan,Indonesia,-2.9861,104.7556
Zhangjiajie,Hunan,China,29.1255,110.4844
K?be,Hy?go,Japan,34.69,135.1956
Jiaxing,Zhejiang,China,30.7522,120.75
Charlotte,North Carolina,United States,35.2083,-80.8303
Guiping,Guangxi,China,23.4,110.0833
Lianjiang,Guangdong,China,21.6146,110.2794
Ximeicun,Fujian,China,24.9633,118.3811
Jianguang,Jiangxi,China,28.1958,115.7833
Yucheng,Sichuan,China,29.9888,103.0007
Panama City,Panamá,Panama,8.9833,-79.5167
Xushan,Zhejiang,China,30.1697,121.2665
Belém,Pará,Brazil,-1.4558,-48.5039
Virginia Beach,Virginia,United States,36.7335,-76.0435
Leizhou,Guangdong,China,20.9147,110.0806
Gwangju,Gwangju,South Korea,35.1653,126.8486
N?sik,Mah?r?shtra,India,20,73.78
Porto Alegre,Rio Grande do Sul,Brazil,-30.0331,-51.23
Valencia,Carabobo,Venezuela,10.1667,-68
Onitsha,Anambra,Nigeria,6.1667,6.7833
Abu Dhabi,Ab? Z?aby,United Arab Emirates,24.4667,54.3667
Daejeon,Daejeon,South Korea,36.351,127.385
Zapopan,Jalisco,Mexico,20.7167,-103.4
Bronx,New York,United States,40.8501,-73.8662
Yekaterinburg,Sverdlovskaya Oblast’,Russia,56.8356,60.6128
Huazhou,Henan,China,32.6832,112.079
Ky?to,Ky?to,Japan,35.0117,135.7683
Jinhua,Zhejiang,China,29.1046,119.6494
Amsterdam,Noord-Holland,Netherlands,52.3728,4.8936
Shuangyashan,Heilongjiang,China,46.6388,131.1545
Pizhou,Jiangsu,China,34.3422,118.0097
El Kelaa des Srarhna,Marrakech-Safi,Morocco,32.0481,-7.4083
Dakar,Dakar,Senegal,14.6928,-17.4467
Kharkiv,Kharkivska Oblast,Ukraine,49.9925,36.2311
Yangshe,Jiangsu,China,31.8775,120.5512
